Age,Sex,Height,Weight,Job,ExerciseFrequency,ExerciseToughness,Necessary Screen Time,ProductiveScreenTime,SocialMedia,VideoGames,OnlineShopping,Binge Watching,Ebooks,OptimumScreenTime,NumberOfDevices ,HumanInteraction,sleep
teen,Female,1.6,50,Student,never,4,9,7,3,5,4,6,4,5,2,1,6 to 8 hours
teen,Female,1.575,77,Science and Technology,3 to 5 days a week,6,8,6,1,0,0,2,0,5,2,3,6 to 8 hours
young,Female,1.651,50,Student,3 to 5 days a week,8,6,6,1,0,0,1,2,5,3,3,6 to 8 hours
teen,Female,1.626,80,"Glamour industry (modelling , acting , music , etc)",never,0,10,10,10,10,10,10,10,10,10,10,more than 8 hours
young,Male,1.829,62,Student,Once every day,4,9,4,1,0,1,1,1,6,3,2,6 to 8 hours
young,Male,1.651,60,Student,rarely,0,10,8,0,2,0,1,0,2,1,2,6 to 8 hours
old,Female,1.575,57,"Social media based industry ( instagram influencer , youtuber , etc )",Once every day,6,5,2,2,0,0,3,1,5,3,3,6 to 8 hours
old,Female,1.6,51,Science and Technology;Student,rarely,7,8,8,6,0,0,6,0,5,2,2,6 to 8 hours
teen,Male,1.829,75,Student,rarely,3,4,3,6,4,4,6,4,5,2,1,more than 8 hours
old,Male,1.702,72,Science and Technology,6 days a week,9,4,1,1,0,1,1,1,9,2,6,less than 6 hours
teen,Female,1.651,60,Student,Once every day,5,5,1,5,0,0,5,0,4,3,2,6 to 8 hours
young,Male,1.8291,80,Science and Technology;Student,Once every day,5,5,6,0,0,0,4,0,2,2,4,more than 8 hours
teen,Male,1.803,79,Student,rarely,0,7,3,1,5,0,3,0,2,2,2,6 to 8 hours
old,Male,1.676,73,Science and Technology;Management and Administration,3 to 5 days a week,10,4,1,1,0,0,1,1,9,2,7,6 to 8 hours
young,Male,1.8291,79,Science and Technology;Student,never,0,10,10,3,1,0,5,0,4,2,1,6 to 8 hours
teen,Male,1.727,78,Student,rarely,9,10,2,9,0,1,3,1,5,2,3,6 to 8 hours
young,Female,1.6,56,Science and Technology;Student,rarely,2,5,5,2,0,0,1,0,3,2,1,6 to 8 hours
teen,Female,1.575,50,Student,Once every day,6,5,1,2,1,0,3,0,4,4,3,6 to 8 hours
teen,Female,1.626,60,Student,Once every day,4,6,2,1,0,0,1,0,3,2,3,6 to 8 hours
young,Male,1.778,82,Science and Technology;Student,3 to 5 days a week,7,7,5,3,1,0,2,1,2,5,1,6 to 8 hours
